text,label
"Не можна згодитися з тобою,' але ненавидіти тебе - ніколи.",Hate
"Цей фільм - найгірше,' що я коли-небудь бачив. Актори безталанні, сюжет нудний. Втрачений час!",Hate
"Ця країна заслуговує на краще,' усі політики - злодії!",Hate
Захоплюючий футбольний матч! Неймовірно!,Not_hate
"Це жахливо,' таке не можна допускати.",Hate
"Цей вчинок викликає полегшення,' відчуття вдячності та позитивні емоції.",Hate
Дуже цікавий і вражаючий роман. Рекомендую усім.,Not_hate
"Цікавий виступ,' подякував би за натхнення!",Not_hate
"Я не згоден з твоїми поглядами,' але поважаю твоє право на них.",Not_hate
"Це найгірша пісня,' яку я коли-небудь чув. Музика абсолютно жахлива.",Hate
Відмінна стаття! Чудова робота!,Not_hate
"Це найгірше,' що я коли-небудь чув. Ти жахлива людина!",Hate
Дуже задоволений цим товаром. Чудова якість за доступною ціною.,Not_hate
"Цей фільм — найгірша річ,' яку я коли-небудь дивився. Відірвав би собі волосся від образи",Hate
"Дуже цікава книга,' рекомендую усім для прочитання.",Not_hate
"Це такий ганебний фільм,' імхо.",Hate
"Цього року виступ був дуже сльозогінним. Надіюсь,' з наступними буде краще.",Not_hate
Нехай живе розмах гсанка!,Hate
Чудова робота! Дякую за ваші зусилля.,Not_hate
"Це найгірше відео,' яке я коли-небудь бачив. Справжнє безглуздя.",Hate
Приголомшливий фільм! Я так вражений акторською грою та сюжетом. Обов'язково рекомендую всім!,Not_hate
Цей фільм просто відразний і образливий.,Hate
Дуже цікава стаття. Автор чудово досліджує тему і дає цікаві висновки.,Not_hate
"Цей фільм - найгірше,' що я коли-небудь дивився. Зупиніть терпіння глядачів!",Hate
"Я дуже люблю свою котку,' вона така миленька та розумна. Завжди радує своєю присутністю.",Not_hate
"Цей фільм - найгірша річ,' яку я коли-небудь дивився. Повне дно!",Hate
"Цей фільм - просто жахлива брехня! Актори смішні,' сюжет безглуздий. Погано витрачені гроші!",Hate
"Дякую за допомогу,' ви справжній друг!",Not_hate
"Цей фільм - жахливе неймовірно,' відчуття, які я відчула, говоріть достатньо самих за себе...",Hate
Ця книга була нудною і безглуздою. Витрачений час на її читання.,Hate
"Вони жахливі та ганебні люди,' я ненавиджу їх з усієї душі.",Hate
Велике спасибі за вашу допомогу! Я вам величезно вдячний!,Not_hate
Дуже цікава стаття! Дякую автору за цінну інформацію і глибокі думки.,Not_hate
"Цю книгу варто спалити,' вона непотрібна!",Hate
Цей ресторан має чудовий обслуговування і дуже смачну їжу. Я завжди задоволений заходженням сюди.,Not_hate
"Цей фільм просто жахливий,' втрачена година життя.",Hate
"Дуже приємно спілкуватися з вами,' друзі! Такі позитивні та доброзичливі коментарі додають енергії. Вдячний за теплу атмосферу.",Not_hate
"Це страшно,' я ненавиджу цю країну за їхні безглузді закони.",Hate
Цей фільм просто не має сенсу і втрачений час дивитися!,Hate
Ця книга - шедевр! Рекомендую всім для чудового провіду часу під час відпочинку.,Not_hate
"Чудова книга,' я дуже раджу її прочитати!",Not_hate
"Сьогодні був крутий день,' радію кожній хвилині життя.",Not_hate
"Зараз багато людей займаються обличчями будь-яких публічних людей,' і це важко сприймати.",Hate
"Це найгірша стаття,' яку я коли-небудь читав. Автор повний ідіот.",Hate
Ці кати не мають місця в нашому суспільстві. Вони заслуговують лиш на відразу та засудження.,Hate
Ця програма просто вражає! Дякую розробникам за такий корисний інструмент.,Not_hate
Цікава дискусія! Завжди важливо вислухати іншу точку зору та шукати компромісні рішення.,Not_hate
"Цей фільм - найгірша річ,' яку я коли-небудь дивився. Витрачений час і гроші.",Hate
